Open,High,Low,Close,Adj Close,Volume,Days_Since_Start
0.032343,0.037473,0.032049,0.036329,0.036329,7433250,0
0.036287,0.038559,0.035121,0.036205,0.036205,4526580,1
0.036013,0.036799,0.03351,0.035137,0.035137,3778450,2
0.035049,0.036215,0.033407,0.035613,0.035613,2802420,3
0.03558,0.036499,0.034258,0.0343,0.0343,3065310,4
0.034371,0.034371,0.030479,0.031071,0.031071,2659290,5
0.031103,0.032543,0.026125,0.027783,0.027783,4314090,6
0.027752,0.02925,0.025797,0.026729,0.026729,2348080,7
0.026594,0.027078,0.023204,0.02565,0.02565,2585470,8
0.025682,0.026968,0.024455,0.024459,0.024459,1471850,9
0.024355,0.026733,0.02337,0.026384,0.026384,1486700,10
0.026294,0.030934,0.026057,0.027438,0.027438,6789180,11
0.027206,0.028005,0.025393,0.026232,0.026232,1994580,12
0.026188,0.027483,0.022085,0.022784,0.022784,2044320,13
0.022817,0.022964,0.019918,0.02227,0.02227,2087190,14
0.022197,0.022767,0.021422,0.022144,0.022144,970696,15
0.021944,0.022098,0.019613,0.019971,0.019971,940464,16
0.019956,0.020665,0.016704,0.020386,0.020386,2538820,17
0.02015,0.022338,0.020039,0.022194,0.022194,1669820,18
0.022438,0.025255,0.021575,0.024761,0.024761,2250430,19
0.024936,0.025933,0.023865,0.024236,0.024236,2167350,20
0.024161,0.024861,0.022541,0.023832,0.023832,1311100,21
0.023826,0.023975,0.02183,0.022649,0.022649,1638870,22
0.022984,0.023801,0.022456,0.022764,0.022764,1386410,23
0.02241,0.025126,0.022112,0.024106,0.024106,2796490,24
0.024088,0.024378,0.021009,0.022342,0.022342,2563940,25
0.022309,0.02251,0.020717,0.02093,0.02093,1766760,26
0.020962,0.022051,0.020798,0.021573,0.021573,1238990,27
0.021639,0.02165,0.01763,0.018136,0.018136,1423190,28
0.018013,0.018253,0.016424,0.017257,0.017257,1472050,29
0.017314,0.018671,0.017314,0.017622,0.017622,1148020,30
0.017685,0.01786,0.015938,0.017136,0.017136,1205430,31
0.017259,0.018445,0.017022,0.017995,0.017995,1746780,32
0.017847,0.020521,0.017695,0.020161,0.020161,3109650,33
0.020085,0.020861,0.017868,0.017928,0.017928,2199160,34
0.01801,0.018322,0.017085,0.018295,0.018295,1674070,35
0.018199,0.018375,0.017048,0.017212,0.017212,1132790,36
0.017149,0.018496,0.017117,0.018164,0.018164,1061920,37
0.018109,0.019072,0.018052,0.01892,0.01892,1399690,38
0.018943,0.020306,0.017808,0.018285,0.018285,2740760,39
0.018304,0.020326,0.0182,0.020136,0.020136,2955280,40
0.020044,0.023695,0.019627,0.022791,0.022791,7618980,41
0.022884,0.025844,0.021008,0.02551,0.02551,5920360,42
0.026042,0.030104,0.024735,0.028221,0.028221,8518670,43
0.027999,0.030891,0.027004,0.028077,0.028077,6977530,44
0.028295,0.031612,0.027583,0.030955,0.030955,7407760,45
0.030849,0.031151,0.027867,0.02891,0.02891,4422360,46
0.028636,0.03099,0.028189,0.029045,0.029045,6405060,47
0.029029,0.034438,0.029029,0.033799,0.033799,9244730,48
0.033895,0.035622,0.032666,0.033955,0.033955,8789520,49
0.033927,0.03568,0.032566,0.035225,0.035225,6284580,50
0.03511,0.035831,0.032232,0.032971,0.032971,5883500,51
0.033105,0.035423,0.032565,0.034314,0.034314,3805610,52
0.034267,0.035388,0.034021,0.035058,0.035058,3633010,53
0.035186,0.040037,0.034932,0.040037,0.040037,8111560,54
0.039642,0.039787,0.03256,0.034443,0.034443,7132740,55
0.034695,0.040354,0.03349,0.040239,0.040239,12378400,56
0.040365,0.045309,0.040098,0.042685,0.042685,15466900,57
0.04244,0.045852,0.041991,0.044674,0.044674,9280990,58
0.044484,0.044836,0.041922,0.043575,0.043575,6780090,59
0.043727,0.043727,0.040307,0.040531,0.040531,5885700,60
0.040583,0.043958,0.038539,0.043434,0.043434,6998160,61
0.043434,0.048295,0.042579,0.048295,0.048295,11232800,62
0.048169,0.048898,0.046138,0.048,0.048,11019000,63
0.047791,0.05047,0.046893,0.049099,0.049099,10310300,64
0.04905,0.050215,0.047845,0.048654,0.048654,6584560,65
0.048678,0.048974,0.044511,0.046856,0.046856,6686140,66
0.046753,0.047184,0.04302,0.044621,0.044621,4637530,67
0.044664,0.046498,0.043968,0.04618,0.04618,6865950,68
0.046244,0.048592,0.0441,0.048276,0.048276,9140310,69
0.04834,0.048536,0.042872,0.042872,0.042872,7425820,70
0.04302,0.043114,0.036494,0.036524,0.036524,9750750,71
0.036612,0.0408,0.034712,0.040499,0.040499,9600650,72
0.040456,0.044161,0.03939,0.04371,0.04371,5957970,73
0.043619,0.044519,0.040239,0.042966,0.042966,5475090,74
0.042808,0.043517,0.039571,0.039951,0.039951,3392320,75
0.039676,0.039829,0.036886,0.037247,0.037247,3764510,76
0.0372,0.038719,0.033533,0.03356,0.03356,3894100,77
0.033764,0.036614,0.03251,0.036395,0.036395,3153070,78
0.036474,0.038566,0.035395,0.037583,0.037583,3487450,79
0.037587,0.041555,0.037041,0.041129,0.041129,4355350,80
0.041177,0.041367,0.039487,0.040957,0.040957,5259580,81
0.040938,0.041043,0.037454,0.037899,0.037899,4921000,82
0.038026,0.038403,0.033829,0.035024,0.035024,5023140,83
0.034885,0.036472,0.033443,0.035588,0.035588,2982750,84
0.035672,0.036083,0.033965,0.034299,0.034299,1976550,85
0.034308,0.035136,0.0337,0.033755,0.033755,1675120,86
0.033868,0.03387,0.032451,0.033077,0.033077,1454690,87
0.032963,0.033235,0.030443,0.030574,0.030574,2476690,88
0.030489,0.033875,0.030356,0.032763,0.032763,2732960,89
0.032808,0.033615,0.031495,0.031615,0.031615,1593360,90
0.03165,0.03411,0.031542,0.033034,0.033034,2114840,91
0.033165,0.035106,0.032579,0.033681,0.033681,2986150,92
0.033455,0.035317,0.033292,0.034754,0.034754,1999560,93
0.034917,0.036388,0.034673,0.035814,0.035814,2399390,94
0.03577,0.036132,0.032931,0.033227,0.033227,2735930,95
0.033295,0.03426,0.032468,0.033346,0.033346,1936790,96
0.03333,0.034838,0.033161,0.034517,0.034517,2843220,97
0.034455,0.035328,0.033983,0.03466,0.03466,2932980,98
0.034589,0.036989,0.033845,0.036362,0.036362,3497140,99
0.03633,0.037699,0.036188,0.036188,0.036188,5558810,100
0.036099,0.036099,0.030513,0.031395,0.031395,4250080,101
0.031426,0.033043,0.030823,0.032983,0.032983,3179790,102
0.032894,0.032943,0.027916,0.028141,0.028141,4310700,103
0.028112,0.028844,0.024555,0.025685,0.025685,4072710,104
0.025696,0.028895,0.025696,0.028539,0.028539,3631230,105
0.028469,0.028778,0.02655,0.026865,0.026865,1579730,106
0.02668,0.027948,0.026503,0.027541,0.027541,1701370,107
0.027518,0.028133,0.026902,0.026956,0.026956,1041350,108
0.02691,0.028263,0.025808,0.028024,0.028024,1837320,109
0.028003,0.028215,0.027243,0.027675,0.027675,1567840,110
0.027638,0.027675,0.025218,0.026108,0.026108,2609460,111
0.026133,0.027056,0.025597,0.025999,0.025999,1971010,112
0.025961,0.025964,0.020952,0.021726,0.021726,2727050,113
0.021763,0.022333,0.020777,0.021199,0.021199,1501250,114
0.021208,0.021208,0.017425,0.019931,0.019931,3716330,115
0.019859,0.021678,0.019737,0.021659,0.021659,2298080,116
0.021642,0.021793,0.020198,0.020285,0.020285,1693180,117
0.020163,0.02373,0.019989,0.023171,0.023171,4036730,118
0.023174,0.025569,0.02276,0.022916,0.022916,4903970,119
0.023037,0.024668,0.021955,0.02452,0.02452,2069950,120
0.024518,0.026231,0.024518,0.026231,0.026231,1893340,121
0.026294,0.026391,0.024844,0.025649,0.025649,1152800,122
0.025707,0.028573,0.024968,0.027988,0.027988,2143820,123
0.027795,0.031006,0.027507,0.029158,0.029158,4872240,124
0.02929,0.031052,0.028126,0.029737,0.029737,2741270,125
0.02984,0.030735,0.02864,0.029955,0.029955,2067860,126
0.029933,0.03311,0.028694,0.03311,0.03311,5849000,127
0.033145,0.036446,0.031426,0.036446,0.036446,7912490,128
0.036477,0.04221,0.03536,0.041294,0.041294,19414800,129
0.041381,0.046121,0.037309,0.038214,0.038214,26241800,130
0.037521,0.04111,0.034486,0.037498,0.037498,14192000,131
0.037441,0.040938,0.037441,0.039105,0.039105,10400800,132
0.039215,0.040229,0.037001,0.038575,0.038575,6579630,133
0.038765,0.039434,0.036725,0.036862,0.036862,4731130,134
0.036759,0.037255,0.033595,0.033874,0.033874,6200960,135
0.033897,0.038822,0.032311,0.037876,0.037876,7261440,136
0.038153,0.040215,0.03679,0.03967,0.03967,5673180,137
0.039506,0.04479,0.038272,0.043325,0.043325,5650310,138
0.04328,0.044796,0.04003,0.042018,0.042018,5031000,139
0.041919,0.047855,0.041148,0.047184,0.047184,17588200,140
0.047212,0.048403,0.042039,0.042885,0.042885,14529800,141
0.042962,0.044567,0.041104,0.044062,0.044062,4083420,142
0.044148,0.046932,0.044004,0.045801,0.045801,4301340,143
0.045713,0.048918,0.045516,0.046878,0.046878,7958560,144
0.047013,0.04903,0.043974,0.046331,0.046331,10761100,145
0.045491,0.0467,0.043205,0.044942,0.044942,7839280,146
0.044922,0.044922,0.038569,0.041681,0.041681,7680430,147
0.041609,0.044681,0.03886,0.043625,0.043625,7365040,148
0.043611,0.044226,0.0426,0.042983,0.042983,3891210,149
0.043369,0.044135,0.040605,0.040987,0.040987,4439100,150
0.040888,0.041929,0.038825,0.0411,0.0411,4200490,151
0.040915,0.040915,0.036555,0.036851,0.036851,3146290,152
0.036936,0.037317,0.034967,0.036564,0.036564,4059800,153
0.036525,0.039107,0.035207,0.035669,0.035669,5796390,154
0.035794,0.035794,0.032319,0.033516,0.033516,4231620,155
0.033558,0.034721,0.030793,0.032048,0.032048,2827000,156
0.031906,0.03387,0.031527,0.033642,0.033642,2723590,157
0.033559,0.035036,0.032138,0.032744,0.032744,2997670,158
0.032482,0.033656,0.030376,0.030376,0.030376,2791830,159
0.030368,0.030368,0.026804,0.027707,0.027707,3515350,160
0.027694,0.029589,0.025839,0.028838,0.028838,3594160,161
0.028846,0.029692,0.026256,0.027143,0.027143,2761500,162
0.027112,0.027288,0.025236,0.026546,0.026546,2666600,163
0.026482,0.02745,0.026183,0.026612,0.026612,1774640,164
0.026994,0.027293,0.024301,0.024327,0.024327,2464510,165
0.024251,0.024251,0.020863,0.022286,0.022286,3178950,166
0.022332,0.027454,0.022332,0.024361,0.024361,4042340,167
0.024415,0.025297,0.023703,0.024402,0.024402,2499030,168
0.024386,0.028078,0.024356,0.028034,0.028034,3279470,169
0.028037,0.028487,0.024988,0.025974,0.025974,2407060,170
0.0259,0.027351,0.025256,0.026259,0.026259,1762160,171
0.026172,0.02673,0.024177,0.024233,0.024233,1559930,172
0.024209,0.025246,0.02413,0.024789,0.024789,1985880,173
0.0247,0.026943,0.02294,0.023573,0.023573,4084060,174
0.023578,0.025581,0.022961,0.025578,0.025578,15009100,175
0.025555,0.026218,0.024637,0.026081,0.026081,19100700,176
0.026014,0.02655,0.025481,0.026103,0.026103,18893700,177
0.026138,0.02635,0.024639,0.025544,0.025544,17787900,178
0.025778,0.027764,0.025438,0.027764,0.027764,10228500,179
0.027806,0.029658,0.027771,0.029345,0.029345,11240000,180
0.029496,0.029642,0.02836,0.029524,0.029524,10065700,181
0.02959,0.030932,0.027982,0.030541,0.030541,10163200,182
0.030548,0.032169,0.029354,0.031028,0.031028,10536800,183
0.031094,0.035248,0.031073,0.034198,0.034198,11493000,184
0.034084,0.034941,0.032416,0.032476,0.032476,9721860,185
0.032503,0.034361,0.030685,0.033839,0.033839,18160800,186
0.0342,0.034917,0.031934,0.033764,0.033764,13364100,187
0.033802,0.03531,0.02613,0.02613,0.02613,7309700,188
0.026084,0.026642,0.024814,0.02586,0.02586,3069490,189
0.025935,0.026884,0.024595,0.024685,0.024685,3178610,190
0.024672,0.025492,0.023308,0.023964,0.023964,2717830,191
0.023728,0.024924,0.023293,0.024119,0.024119,2159400,192
0.02416,0.024479,0.023126,0.023697,0.023697,2151160,193
0.023545,0.023952,0.022348,0.022506,0.022506,2635200,194
0.022502,0.022798,0.020547,0.022179,0.022179,2986720,195
0.022212,0.025034,0.022133,0.025034,0.025034,4252590,196
0.024989,0.025961,0.024113,0.025048,0.025048,4118160,197
0.02506,0.025926,0.024609,0.025461,0.025461,3255220,198
0.025569,0.025569,0.024521,0.025407,0.025407,3435280,199
0.025374,0.025776,0.02381,0.024108,0.024108,2770800,200
0.024047,0.025283,0.023966,0.025058,0.025058,4200030,201
0.024996,0.025497,0.024147,0.025387,0.025387,4133360,202
0.025393,0.025673,0.024013,0.024934,0.024934,4134040,203
0.024992,0.02665,0.024435,0.026174,0.026174,6596040,204
0.026189,0.026439,0.024707,0.024835,0.024835,4154670,205
0.024877,0.025898,0.024734,0.025898,0.025898,6761190,206
0.025893,0.026135,0.024581,0.024606,0.024606,4736820,207
0.024655,0.02469,0.023487,0.02391,0.02391,2150940,208
0.023968,0.024566,0.023855,0.024016,0.024016,1864350,209
0.023952,0.025674,0.023853,0.025557,0.025557,3715580,210
0.02538,0.025983,0.024517,0.024791,0.024791,2595480,211
0.024687,0.026136,0.024286,0.024964,0.024964,2023180,212
0.024945,0.02498,0.024345,0.02464,0.02464,2789190,213
0.024593,0.024828,0.023085,0.024266,0.024266,3814510,214
0.024227,0.024865,0.024148,0.024606,0.024606,3593940,215
0.024614,0.024723,0.023917,0.024653,0.024653,2490580,216
0.024292,0.024859,0.024143,0.024633,0.024633,2931880,217
0.024648,0.026215,0.024388,0.026141,0.026141,4110340,218
0.026259,0.026259,0.024901,0.025072,0.025072,3413710,219
0.025162,0.025597,0.024744,0.025239,0.025239,2335170,220
